1968;Richard HammingMéthodes numériques, systèmes de codage automatique, détection et correction d’erreurs
1969;Marvin MinskyIntelligence artificielle
1970;James H. WilkinsonAnalyse numérique, algèbre linéaire, analyse d’erreur vers l’arrière
1971;John McCarthyIntelligence artificielle
1973;Charles BachmanTechnologie des bases de données
1975;Allen NewellIntelligence artificielle, la psychologie de la compréhension humaine, traitement de liste
1976;Michael RabinMachine non déterministe. Voir Machine de Turing non déterministe
1977;John BackusSystèmes de programmation de haut niveau, procédures formelles pour la spécification des langages de programmation, langage FORTRAN
1978;Robert FloydMéthodologies pour la création de logiciels efficaces et fiables
1979;Kenneth IversonLangages de programmation et notation mathématique, implémentation de systèmes interactifs, utilisation éducative d’APL, théorie et pratique du langage de programmation
1981;Edgar Frank CoddSystèmes de gestion de bases de données, en particulier bases de données relationnelles
1982;Stephen CookComplexité du calcul informatique
1983;Kenneth ThompsonThéorie des systèmes d'exploitation, implémentation du système UNIX
1984;Niklaus WirthDéveloppement des langages EULER, Algol W, MODULA et PASCAL
1985;Richard KarpThéorie des algorithmes, NP-complétude
1986;John HopcroftCréation et analyse de structures de données
1988;Ivan SutherlandConception assistée par ordinateur (CAO)
1989;William KahanAnalyse numérique
1990;Fernando CorbatóApplications réparties, création de CTSS et Multics
1991;Robin MilnerLogique pour fonctions calculable, ML, Calculus of communicating systems
1992;Butler LampsonEnvironnements personnels distribués
1993;Juris HartmanisThéorie de la complexité
1994;Edward FeigenbaumSystèmes d’intelligence artificielle de grande envergure
1995;Manuel BlumThéorie de la complexité appliquée à la cryptographie et à la vérification de programmes
1996;Amir PnueliLogique temporelle et vérification de programmes et de systèmes
1997;Douglas EngelbartInformatique interactive
1998;James GrayBases de données et traitement de transactions
1999;Frederick BrooksArchitecture des ordinateurs, systèmes d’exploitation et logiciels
2000;Andrew YaoThéorie de la calculabilité, génération de nombres pseudo-aléatoires, cryptographie et complexité de la communication
2001;Ole-Johan DahlProgrammation orientée objet et création des langages Simula I et Simula 67
2002;Ronald L. RivestCryptographie à clef publique et système RSA
2004;Vinton G. CerfRéseaux, TCP/IP
2005;Peter NaurPour des contributions fondamentales à la conception des langages de programmation et à la définition d'Algol 60, pour la conception des compilateurs et pour l'art et la pratique de la programmation informatique
2006;Frances AllenOptimisation des compilateurs
2007;Edmund M. Clarke, Allen Emerson et Joseph SifakisPour leurs travaux sur le model checking
2008;Barbara LiskovPour la conception de langages de programmation et la méthodologie polymorphe
2003;Alan KayProgrammation orientée objet et création du langage Smalltalk
2009;Charles P. ThackerPour le travail effectué tout au long de sa carrière dont le Xerox Alto
2010;Leslie ValiantPour le travail en apprentissage, en théorie de la complexité, en calcul distribué et parallèle
2011;Judea PearlPour des contributions fondamentales à l'intelligence artificielle par le développement de l'analyse probabiliste et du raisonnement causal
2012;Silvio Micali et Shafi GoldwasserPour cryptologie et la vérification de preuve, basés de la théorie de la complexité
1967;Maurice WilkesBibliothèque logicielle
1987;John CockeThéorie des compilateurs, architecture des grands systèmes, invention des architectures RISC
1972;Edsger DijkstraLa science et l’art des langages de programmation, langage ALGOL
1974;Donald KnuthAnalyse des algorithmes et conception des langages de programmation
1966;Alan J. PerlisConstruction de compilateurs
1980;Charles A. R. HoareDéfinition et conception des langages de programmation
2013;Leslie LamportContributions fondamentales théoriques appliquées aux systèmes distribués et concurrents - concepts de causalité, d'horloges logiques et de consistance séquentielle
2022;Robert MetcalfePour l'invention, la normalisation et la commercialisation d'Ethernet
2014;Michael StonebrakerContributions aux systèmes de gestions de bases de données (SGBD) et inventeur de PostgreSQL
2015;Whitfield Diffie et Martin HellmanContributions à la cryptographie contemporaine (créateurs de la cryptographie asymétrique)
2016;Tim Berners-LeeInventeur du World Wide Web et du premier navigateur web
2017;David Patterson et John HennessyApproche systématique et quantitative de la conception et de l'évaluation d'architectures informatiques ayant un impact durable sur l'industrie des microprocesseurs
2018;Yann Le Cun, Yoshua Bengio et Geoffrey HintonRéseaux neuronaux profonds (IA)
2019;Patrick Hanrahan et Edwin CatmullContributions fondamentales à l'infographie tridimensionnelle
2020;Alfred Aho et Jeffrey UllmanAlgorithmes fondamentaux et la théorie sous-jacente à l'implémentation des langages de programmation
2021;Jack DongarraContributions innovantes dans les algorithmes et bibliothèques numériques le calcul haute performance
